hour,type,txn_count,fraud_count,total_amount,fraud_rate
1,CASH_IN,527,0,8.550079e+07,0.0
1,CASH_OUT,388,9,6.6629776e+07,0.023195876288659795
1,DEBIT,148,0,663632.3,0.0
1,PAYMENT,1369,0,8.3376165e+06,0.0
1,TRANSFER,276,7,1.2429737e+08,0.025362318840579712
2,CASH_IN,203,0,3.249656e+07,0.0
2,CASH_OUT,104,4,1.5942243e+07,0.038461538461538464
2,DEBIT,71,0,240648.47,0.0
2,PAYMENT,555,0,3.9370918e+06,0.0
2,TRANSFER,81,4,3.330506e+07,0.04938271604938271
3,CASH_IN,124,0,2.1176788e+07,0.0
3,CASH_OUT,52,2,4.8346705e+06,0.038461538461538464
3,DEBIT,25,0,96379.85,0.0
3,PAYMENT,316,0,3.0116088e+06,0.0
3,TRANSFER,35,2,1.4174437e+07,0.05714285714285714
4,CASH_IN,136,0,2.354119e+07,0.0
4,CASH_OUT,77,5,2.2721282e+07,0.06493506493506493
4,DEBIT,16,0,11476.22,0.0
4,PAYMENT,294,0,1.2625061e+06,0.0
4,TRANSFER,42,5,2.5373574e+07,0.11904761904761904
5,CASH_IN,131,0,2.5071346e+07,0.0
5,CASH_OUT,61,3,1.0303009e+07,0.04918032786885246
5,DEBIT,24,0,47601.62,0.0
5,PAYMENT,419,0,2.6448955e+06,0.0
5,TRANSFER,30,3,7.481238e+06,0.1
6,CASH_IN,300,0,5.299816e+07,0.0
6,CASH_OUT,174,11,3.0301592e+07,0.06321839080459771
6,DEBIT,21,0,69496.59,0.0
6,PAYMENT,1003,0,1.2249798e+07,0.0
6,TRANSFER,162,11,6.86915e+07,0.06790123456790123
7,CASH_IN,1002,0,1.6604978e+08,0.0
7,CASH_OUT,1155,6,2.0463618e+08,0.005194805194805195
7,DEBIT,107,0,387519.66,0.0
7,PAYMENT,3821,0,2.9722268e+07,0.0
7,TRANSFER,752,6,4.3213507e+08,0.007978723404255319
8,CASH_IN,3953,0,6.5196826e+08,0.0
8,CASH_OUT,6137,6,1.0965853e+09,0.000977676389115203
8,DEBIT,148,0,507625.62,0.0
8,PAYMENT,8882,0,8.487635e+07,0.0
8,TRANSFER,1977,6,1.6056649e+09,0.0030349013657056147
9,CASH_IN,8087,0,1.3888008e+09,0.0
9,CASH_OUT,13184,9,2.5339497e+09,0.0006826456310679612
9,DEBIT,229,0,1.1198756e+06,0.0
9,PAYMENT,13105,0,1.6855797e+08,0.0
9,TRANSFER,3023,10,2.9159508e+09,0.0033079722130334105
10,CASH_IN,7518,0,1.3984988e+09,0.0
10,CASH_OUT,12516,6,2.629174e+09,0.00047938638542665386
10,DEBIT,275,0,1.2314112e+06,0.0
10,PAYMENT,12764,0,1.518998e+08,0.0
10,TRANSFER,2918,5,2.943411e+09,0.0017135023989033585
11,CASH_IN,7841,0,1.4353005e+09,0.0
11,CASH_OUT,13081,3,2.8227896e+09,0.00022934026450577172
11,DEBIT,278,0,1.5468015e+06,0.0
11,PAYMENT,13054,0,1.734974e+08,0.0
11,TRANSFER,2987,4,2.581932e+09,0.0013391362571141614
12,CASH_IN,7684,0,1.480154e+09,0.0
12,CASH_OUT,13111,8,2.7478185e+09,0.0006101746624971398
12,DEBIT,255,0,8.944374e+06,0.0
12,PAYMENT,12142,0,1.6423595e+08,0.0
12,TRANSFER,2961,6,2.353132e+09,0.002026342451874367
13,CASH_IN,8131,0,1.5432452e+09,0.0
13,CASH_OUT,13892,7,2.7943683e+09,0.0005038871292830406
13,DEBIT,217,0,899031.1,0.0
13,PAYMENT,12075,0,1.712572e+08,0.0
13,TRANSFER,3200,7,2.3377713e+09,0.0021875
14,CASH_IN,9140,0,1.6249303e+09,0.0
14,CASH_OUT,15984,6,3.1105078e+09,0.00037537537537537537
14,DEBIT,190,0,958296.44,0.0
14,PAYMENT,12758,0,1.3004792e+08,0.0
14,TRANSFER,3413,6,2.0077427e+09,0.0017579841781423966
15,CASH_IN,9939,0,1.7148172e+09,0.0
15,CASH_OUT,17447,11,3.3228792e+09,0.0006304808849658967
15,DEBIT,258,0,1.2158368e+06,0.0
15,PAYMENT,13381,0,1.4975688e+08,0.0
15,TRANSFER,3584,9,1.9950542e+09,0.0025111607142857145
16,CASH_IN,9928,0,1.7465354e+09,0.0
16,CASH_OUT,16308,5,3.0836406e+09,0.00030659798871719403
16,DEBIT,248,0,968802.6,0.0
16,PAYMENT,12598,0,1.5409752e+08,0.0
16,TRANSFER,3389,5,1.9748424e+09,0.0014753614635585719
17,CASH_IN,9897,0,1.6786358e+09,0.0
17,CASH_OUT,16645,4,3.0280755e+09,0.00024031240612796637
17,DEBIT,315,0,1.600335e+06,0.0
17,PAYMENT,13014,0,1.6662307e+08,0.0
17,TRANSFER,3490,3,2.2413908e+09,0.0008595988538681948
18,CASH_IN,11197,0,1.8096714e+09,0.0
18,CASH_OUT,19440,9,3.1945887e+09,0.000462962962962963
18,DEBIT,314,0,1.2338649e+06,0.0
18,PAYMENT,14738,0,1.6022638e+08,0.0
18,TRANSFER,3890,7,2.0893513e+09,0.0017994858611825194
19,CASH_IN,11875,0,1.868721e+09,0.0
19,CASH_OUT,19822,6,3.0724096e+09,0.0003026939763898698
19,DEBIT,420,0,1.4282664e+06,0.0
19,PAYMENT,15289,0,1.4791053e+08,0.0
