step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,row_id,hour,day,is_transfer,is_cash_out,orig_txn_count_prior,orig_amount_prior_sum,orig_avg_amount_prior,orig_prev_step,orig_time_since_prev,orig_prev_amount,orig_amount_to_oldbalance_ratio,orig_balance_drop,orig_balance_drop_ratio,orig_amount_vs_prior_avg,dest_txn_count_prior,dest_amount_prior_sum,dest_avg_amount_prior,dest_prev_step,dest_time_since_prev,amount_vs_dest_prior_avg,orig_txn_count_last_1,orig_amount_sum_last_1,orig_txn_count_last_6,orig_amount_sum_last_6,orig_txn_count_last_24,orig_amount_sum_last_24,anomaly_score,anomaly_rank
659,CASH_IN,608969.08,C566397402,196.0,609165.08,C753526445,84445625.25,83836656.18,0,0,6285622,11,27,0,0,0,0.0,,,,,3106.985102040816,-608969.08,-3106.985102040816,,9,56934149.69,6326016.632222222,596.0,63.0,0.09626422366614605,0.0,0.0,0.0,0.0,0.0,0.0,0.7491968300727113,1
640,CASH_IN,501688.04,C1155072617,72.0,501760.04,C1347825685,20590429.12,20088741.07,0,0,6277894,16,26,0,0,0,0.0,,,,,6967.889444444444,-501688.04,-6967.889444444444,,6,20970510.28,3495085.046666667,394.0,246.0,0.14354101067682745,0.0,0.0,0.0,0.0,0.0,0.0,0.748580175017871,2
659,TRANSFER,4163229.81,C265718030,96.0,0.0,C1380922009,23132419.66,27295649.47,0,0,6286092,11,27,1,0,0,0.0,,,,,43366.9771875,96.0,1.0,,40,20172675.900000002,504316.8975000001,396.0,263.0,8.255186036077642,0.0,0.0,0.0,0.0,0.0,0.0,0.7475752561152452,3
681,TRANSFER,11368206.77,C75141704,0.0,0.0,C2134893079,38333129.35,49701336.12,0,0,6297147,9,28,1,0,0,0.0,,,,,,0.0,,,33,36332814.54000001,1100994.3800000001,394.0,287.0,10.325399453900935,0.0,0.0,0.0,0.0,0.0,0.0,0.730012962930545,4
656,TRANSFER,2957675.54,C1517305057,0.0,0.0,C489712935,66652511.72,69610187.26,0,0,6283759,8,27,1,0,0,0.0,,,,,,0.0,,,53,68560177.16999999,1293588.2484905657,399.0,257.0,2.286411880636044,0.0,0.0,0.0,0.0,0.0,0.0,0.7292388095020501,5
684,TRANSFER,6890721.6,C166256917,55295.0,0.0,C1558871905,14538318.1,21429039.7,0,0,6303929,12,28,1,0,0,0.0,,,,,124.61744461524549,55295.0,1.0,,30,17692706.15,589756.8716666666,402.0,282.0,11.684003919321297,0.0,0.0,0.0,0.0,0.0,0.0,0.7226572398999208,6
705,TRANSFER,3259143.46,C401040325,150951.0,0.0,C1013369800,28697952.43,31957095.89,0,0,6351325,9,29,1,0,0,0.0,,,,,21.590737789083875,150951.0,1.0,,18,29632140.97,1646230.0538888888,380.0,325.0,1.9797618518146514,0.0,0.0,0.0,0.0,0.0,0.0,0.7218046850787397,7
684,TRANSFER,3285375.32,C1788289365,2055.0,0.0,C1102350206,18336023.55,21621398.87,0,0,6307005,12,28,1,0,0,0.0,,,,,1598.7227834549878,2055.0,1.0,,19,15288425.21,804653.9584210527,400.0,284.0,4.082966703409736,0.0,0.0,0.0,0.0,0.0,0.0,0.7205459703567925,8
659,TRANSFER,8648516.96,C1435043980,0.0,0.0,C510491840,54566798.29,63215315.25,0,0,6286001,11,27,1,0,0,0.0,,,,,,0.0,,,16,56345045.949999996,3521565.3718749997,402.0,257.0,2.4558728993280736,0.0,0.0,0.0,0.0,0.0,0.0,0.7204193797329836,9
683,TRANSFER,5653928.35,C1036613601,304789.0,0.0,C1388945976,16660171.59,22314099.94,0,0,6302355,11,28,1,0,0,0.0,,,,,18.55030316054713,304789.0,1.0,,16,8982497.86,561406.11625,397.0,286.0,10.071013097909049,0.0,0.0,0.0,0.0,0.0,0.0,0.7203799552705223,10
684,TRANSFER,8495757.05,C258645391,273357.0,0.0,C627953573,19660645.81,28156402.86,0,0,6307704,12,28,1,0,0,0.0,,,,,31.07934697117689,273357.0,1.0,,6,5090126.710000001,848354.4516666668,352.0,332.0,10.014395555194342,0.0,0.0,0.0,0.0,0.0,0.0,0.7197216174388751,11
681,TRANSFER,7664919.48,C1968543901,0.0,0.0,C1328187730,38123789.81,45788709.29,0,0,6300569,9,28,1,0,0,0.0,,,,,,0.0,,,32,13133501.440000001,410421.92000000004,382.0,299.0,18.675706892068533,0.0,0.0,0.0,0.0,0.0,0.0,0.7194760729571458,12
667,TRANSFER,7623603.7,C1225213119,0.0,0.0,C1039375562,11455966.36,19079570.07,0,0,6292878,19,27,1,0,0,0.0,,,,,,0.0,,,43,18602050.64,432605.8288372093,356.0,311.0,17.62251729360952,0.0,0.0,0.0,0.0,0.0,0.0,0.7194389494758673,13
705,CASH_IN,281186.99,C351019331,83.0,281269.99,C1717123092,10540107.49,10258920.5,0,0,6352780,9,29,0,0,0,0.0,,,,,3387.7950602409637,-281186.99,-3387.7950602409637,,42,15508710.04,369255.00095238094,400.0,305.0,0.7614981226381868,0.0,0.0,0.0,0.0,0.0,0.0,0.7189096628792102,14
659,TRANSFER,8788768.63,C414724684,21372.0,0.0,C4383350,15905932.18,24694700.81,0,0,6285568,11,27,1,0,0,0.0,,,,,411.2281784577953,21372.0,1.0,,12,17216021.759999998,1434668.4799999997,327.0,332.0,6.125992696235999,0.0,0.0,0.0,0.0,0.0,0.0,0.7187581557087959,15
672,TRANSFER,3458351.17,C2102009717,0.0,0.0,C1135826042,31699484.59,35157835.76,0,0,6296106,0,28,1,0,0,0.0,,,,,,0.0,,,12,32415187.08,2701265.59,378.0,294.0,1.2802706934122683,0.0,0.0,0.0,0.0,0.0,0.0,0.7176533469749918,16
687,TRANSFER,1513586.32,C841554583,192.0,0.0,C769777975,18201414.28,19715000.6,0,0,6319394,15,28,1,0,0,0.0,,,,,7883.262083333334,192.0,1.0,,63,24054469.47,381816.9757142857,544.0,143.0,3.9641671698028937,0.0,0.0,0.0,0.0,0.0,0.0,0.7171155057338165,17
659,CASH_IN,378592.06,C1238593412,571726.56,950318.62,C1406193485,236046311.74,235667719.67,0,0,6283836,11,27,0,0,0,0.0,,,,,0.6621907857490476,-378592.05999999994,-0.6621907857490474,,45,224400369.77,4986674.883777778,348.0,311.0,0.07592074254361421,0.0,0.0,0.0,0.0,0.0,0.0,0.7169045662868704,18
687,TRANSFER,586436.44,C414308052,352443.46,0.0,C901461296,79223522.66,79809959.1,0,0,6312998,15,28,1,0,0,0.0,,,,,1.6639163626415423,352443.46,1.0,,19,70015064.61,3685003.400526316,405.0,282.0,0.1591413565361273,0.0,0.0,0.0,0.0,0.0,0.0,0.7168647486647514,19
681,TRANSFER,5327875.07,C1192677900,0.0,0.0,C837841829,11809241.62,17137116.69,0,0,6298641,9,28,1,0,0,0.0,,,,,,0.0,,,49,16224226.18,331106.65673469385,379.0,302.0,16.091114333195275,0.0,0.0,0.0,0.0,0.0,0.0,0.7168126612274935,20
681,TRANSFER,7415022.88,C913149505,0.0,0.0,C1351249517,63495726.69,70910749.57,0,0,6297012,9,28,1,0,0,0.0,,,,,,0.0,,,5,44059836.779999994,8811967.355999999,355.0,326.0,0.8414718961652949,0.0,0.0,0.0,0.0,0.0,0.0,0.7165603306479175,21
633,CASH_OUT,4128853.75,C2094498681,4128853.75,0.0,C72348796,13982778.91,18111632.66,1,0,6273165,9,26,0,1,0,0.0,,,,,1.0,4128853.75,1.0,,22,14424691.219999999,655667.7827272727,404.0,229.0,6.297173444798356,0.0,0.0,0.0,0.0,0.0,0.0,0.7164277479417385,22
637,TRANSFER,5731521.5,C1352018852,0.0,0.0,C1956086968,47758413.81,53489935.31,0,0,6275559,13,26,1,0,0,0.0,,,,,,0.0,,,31,39216582.589999996,1265051.0512903226,406.0,231.0,4.530664192685332,0.0,0.0,0.0,0.0,0.0,0.0,0.7158211011992233,23
692,CASH_IN,119896.61,C860581489,9314472.23,9434368.84,C1137320932,93582104.95,93462208.34,0,0,6339915,20,28,0,0,0,0.0,,,,,0.012872077670041,-119896.6099999994,-0.012872077670040935,,55,93631968.49000001,1702399.4270909093,374.0,318.0,0.07042801359777327,0.0,0.0,0.0,0.0,0.0,0.0,0.7153851943348649,24
684,TRANSFER,7418860.58,C77265768,14765.0,0.0,C4196722,26260102.47,33678963.05,0,0,6307748,12,28,1,0,0,0.0,,,,,502.4626197087708,14765.0,1.0,,11,15352801.26,1395709.2054545453,526.0,158.0,5.315477286390666,0.0,0.0,0.0,0.0,0.0,0.0,0.7152311460556994,25
687,CASH_IN,370065.48,C1583141988,19284027.27,19654092.75,C899455803,14084747.05,13714681.58,0,0,6318799,15,28,0,0,0,0.0,,,,,0.01919025911022786,-370065.48000000045,-0.019190259110227884,,43,17924626.59,416851.7811627907,400.0,287.0,0.8877627413938779,0.0,0.0,0.0,0.0,0.0,0.0,0.7148446007506303,26
695,CASH_IN,7769.9,C793674825,10738785.48,10746555.38,C1019352992,77146543.55,77138773.65,0,0,6350821,23,28,0,0,0,0.0,,,,,0.0007235361963855897,-7769.9000000003725,-0.0007235361963856244,,20,49692017.08,2484600.854,395.0,300.0,0.0031272226230990422,0.0,0.0,0.0,0.0,0.0,0.0,0.7139951776282276,27
684,CASH_IN,558550.26,C1449990579,528675.99,1087226.25,C1084986932,81319176.42,80760626.17,0,0,6304594,12,28,0,0,0,0.0,,,,,1.0565077108949095,-558550.26,-1.0565077108949095,,16,62168210.14000001,3885513.1337500005,398.0,286.0,0.1437519938224813,0.0,0.0,0.0,0.0,0.0,0.0,0.7131442741729132,28
702,CASH_OUT,10000000.0,C1666917384,10000000.0,0.0,C779798347,3485891.28,13485891.28,1,0,6351220,6,29,0,1,0,0.0,,,,,1.0,10000000.0,1.0,,32,7528521.060000002,235266.28312500007,404.0,298.0,42.505028205367054,0.0,0.0,0.0,0.0,0.0,0.0,0.7130347161956595,29
679,TRANSFER,8301338.0,C526300782,0.0,0.0,C419482978,25395587.67,33696925.67,0,0,6296731,7,28,1,0,0,0.0,,,,,,0.0,,,28,10248395.36,366014.12,401.0,278.0,22.680376374550796,0.0,0.0,0.0,0.0,0.0,0.0,0.7125912933596347,30
684,TRANSFER,8823840.96,C1009810580,224139.0,0.0,C999137797,9361533.93,18185374.89,0,0,6306149,12,28,1,0,0,0.0,,,,,39.367718067806145,224139.0,1.0,,1,9361533.93,9361533.93,327.0,357.0,0.9425635826328732,0.0,0.0,0.0,0.0,0.0,0.0,0.7121969943050673,31
681,CASH_IN,336914.9,C395397965,3995538.16,4332453.07,C1858456879,139324707.25,138987792.34,0,0,6300289,9,28,0,0,0,0.0,,,,,0.08432278369229741,-336914.91000000015,-0.0843227861950892,,6,105684698.33999999,17614116.389999997,353.0,328.0,0.01912755045670503,0.0,0.0,0.0,0.0,0.0,0.0,0.7119346762381913,32
681,CASH_IN,219999.96,C131063933,8279828.01,8499827.97,C1616460822,44771342.26,44551342.3,0,0,6297649,9,28,0,0,0,0.0,,,,,0.02657059539573697,-219999.9600000009,-0.026570595395737077,,10,46216894.25,4621689.425,399.0,282.0,0.04760163216722422,0.0,0.0,0.0,0.0,0.0,0.0,0.7117042773498581,33
670,TRANSFER,6988907.06,C1025240447,0.0,0.0,C1641273008,30624000.76,37612907.81,0,0,6295029,22,27,1,0,0,0.0,,,,,,0.0,,,10,19148406.580000002,1914840.6580000003,426.0,244.0,3.649863517782062,0.0,0.0,0.0,0.0,0.0,0.0,0.7115764987506864,34
667,TRANSFER,6746595.1,C369535750,0.0,0.0,C2103655853,9435289.81,16181884.91,0,0,6293684,19,27,1,0,0,0.0,,,,,,0.0,,,42,13177560.680000002,313751.4447619048,375.0,292.0,21.50299293480468,0.0,0.0,0.0,0.0,0.0,0.0,0.7113204862902812,35
687,TRANSFER,2707452.11,C620180774,115.0,0.0,C1105659245,9415273.85,12122725.97,0,0,6313474,15,28,1,0,0,0.0,,,,,23543.061826086956,115.0,1.0,,29,11966913.850000001,412652.201724138,378.0,309.0,6.561099392388455,0.0,0.0,0.0,0.0,0.0,0.0,0.7111572457969217,36
